unitAvail,unitInspec,askIncome,callBack,finHelp,followUp,otherInspec,agentAge,auditorChild,auditorKid,auditorCouple,isQualified,agentBLK,agentFEM,auditID,pctBLK,houseVAL,officeBLK,inCity,sameAgent,race
0,0,0,0,0,0,1,38,0,0,1,0,0,1,100016416,7.6611538,85000,4.0100002,0,0,white
0,0,1,0,0,1,1,50,1,1,1,0,0,1,100015328,7.6611538,55000,8.5676928,0,1,white
0,0,0,0,0,0,1,56,1,0,0,0,0,1,100015352,26.68,13950,9.3199997,0,0,white
1,1,1,1,1,0,1,50,1,0,1,1,0,1,100015504,7.6611538,87500,9.8100004,0,1,white
1,1,0,0,1,1,0,55,1,0.075000003,1,0,0,0,100015888,0.38,117500,0.38,0,1,white
1,1,0,1,0,0,0,40,1,0.075000003,1,0,0,0,100015904,0.090000004,74950,0.34,0,1,white
1,1,0,0,0,0,1,48,1,0.075000003,1,1,0,1,100015912,0.090000004,107000,0.25,0,1,white
1,1,0,0,0,0,1,25,1,0.075000003,0,0,0,0,100015920,0,58000,8.5676928,0,1,white
1,1,0,1,0,0,1,70,1,0.075000003,1,0,0,1,100015952,0.23999999,44950,21.610001,0,1,white
1,1,0,1,0,0,1,55,0,0,0,1,0,1,100015992,7.6611538,54000,0.81999999,0,1,white
1,1,0,1,0,0,1,34,1,0.075000003,1,0,0,1,100016000,7.6611538,117500,0.23,0,0,white
0,0,0,0,1,0,1,58,0,0,0,0,0,1,100016232,7.6611538,35000,21.91,0,0,white
0,0,0,1,1,1,1,35,1,0.075000003,1,1,0,1,100016240,7.6611538,84500,0.31999999,0,0,white
1,1,0,0,1,0,0,25,1,0.075000003,1,1,0,1,100016248,9.3199997,89500,0.23,0,0,white
1,1,0,1,0,0,1,60,1,0.075000003,1,0,0,0,100016384,0.75,85000,30.65,0,1,white
1,1,0,0,0,0,1,50,1,0.075000003,1,0,0,1,100015368,7.6611538,87500,8.5676928,0,1,white
1,1,0,0,0,0,1,50,1,0.075000003,1,0,0,1,100015376,1.8099999,117500,4.0100002,0,1,white
1,1,0,0,0,0,1,45,1,1,0,0,0,1,100015400,5.6500001,29000,28.860001,0,0,white
1,1,1,0,1,1,0,60,1,0.075000003,0,1,0,0,100015856,7.6611538,41500,55.599998,0,0,white
1,1,0,0,0,0,1,40,1,0.075000003,1,0,0,1,100015872,7.6611538,67450,1.59,0,1,white
1,1,0,0,1,0,1,32,0,0,1,0,0,0,100015880,0.090000004,1e+05,0.090000004,0,1,white
1,1,0,1,0,0,0,45,1,0.075000003,1,1,0,1,100015472,4.9099998,1e+05,0.23,0,1,white
1,0,0,1,0,0,1,53,0,0,1,0,0,1,100016192,7.6611538,40000,8.5676928,0,1,white
1,1,1,1,0,0,0,28,0,0,1,0,0,1,100016432,7.6611538,117500,2.49,0,1,white
1,1,1,0,0,0,1,35,0,0,1,1,1,0,100016440,28.860001,45000,0.23,0,0,white
1,1,0,1,0,0,1,70,1,0.075000003,0,0,0,0,100016032,7.6611538,44950,28.860001,0,1,white
1,0,0,1,1,0,1,35,0,0,0,0,0,0,100016040,7.6611538,45000,0.23,0,1,white
1,1,0,1,1,0,1,40,1,0.075000003,1,0,0,1,100016064,7.6611538,60000,0.34,0,1,white
1,1,0,1,0,0,1,35,0,0,0,0,0,0,100016072,5.8699999,50000,0.23,0,1,white
1,1,0,1,0,0,0,40,1,0.075000003,1,0,0,1,100015960,0.15000001,110000,21.91,0,2,white
1,0,0,0,0,0,1,45,1,0.075000003,1,0,0,1,100016048,1.8099999,74950,4.0100002,0,0,white
1,0,1,1,1,0,1,28,0,0,0,1,0,0,160020528,25.719999,40000,42.68,1,1,white
1,0,1,0,1,1,0,40,1,1,1,1,0,1,160018320,0.11,150000,0.67000002,0,0,white
0,0,1,0,0,1,0,50,1,1,1,1,0,0,160019456,7.2572727,120000,0.02,1,0,white
0,0,0,1,0,0,0,20,0,0,0,1,0,0,160019504,4.3997183,90000,0.02,0.4742268,0,white
1,0,0,1,0,0,1,20,1,0,1,0,0,0,160022864,7.2572727,72500,42.450001,1,1,white
